399.40nm,404.39nm,409.38nm,414.37nm,419.37nm,424.38nm,429.38nm,434.40nm,439.41nm,444.43nm,449.45nm,454.48nm,459.51nm,464.54nm,469.58nm,474.62nm,479.67nm,484.72nm,489.77nm,494.83nm,499.89nm,504.95nm,510.02nm,515.10nm,520.17nm,525.25nm,530.34nm,535.43nm,540.52nm,545.61nm,550.71nm,555.82nm,560.93nm,566.04nm,571.15nm,576.27nm,581.40nm,586.52nm,591.65nm,596.79nm,601.93nm,607.07nm,612.22nm,617.37nm,622.52nm,627.68nm,632.84nm,638.00nm,643.17nm,648.35nm,653.53nm,658.71nm,663.89nm,669.08nm,674.27nm,679.47nm,684.67nm,689.87nm,695.08nm,700.29nm,705.51nm,710.73nm,715.95nm,721.18nm,726.41nm,731.65nm,736.89nm,742.13nm,747.38nm,752.63nm,757.88nm,763.14nm,768.40nm,773.67nm,778.94nm,784.21nm,789.49nm,794.77nm,800.06nm,805.35nm,810.64nm,815.94nm,821.24nm,826.55nm,831.85nm,837.17nm,842.48nm,847.80nm,853.13nm,858.46nm,863.79nm,869.12nm,874.46nm,879.81nm,885.16nm,890.51nm,895.86nm,901.22nm,906.58nm,911.95nm,917.32nm,922.70nm,928.07nm,933.46nm,938.84nm,944.23nm,949.63nm,955.03nm,960.43nm,965.83nm,971.24nm,976.66nm,982.07nm,987.49nm,992.92nm,998.35nm,1003.78nm,1009.22nm,1014.66nm,1020.10nm,1025.55nm,1031.00nm,1036.46nm,1041.92nm,1047.38nm,1052.85nm,1058.32nm,1063.79nm
0.96400851,0.990533412,0.934005499,0.938091218,0.878618956,0.812142611,0.682832956,0.526653469,0.409367114,0.302173108,0.238934219,0.192678466,0.159442246,0.13548553,0.113449007,0.096785791,0.083291844,0.071096733,0.062327884,0.056620069,0.049793199,0.046797536,0.041606192,0.039489076,0.038201287,0.03681796,0.036130682,0.036453806,0.036516823,0.03809569,0.039462544,0.041649427,0.044524625,0.048614893,0.053540848,0.061450548,0.072407596,0.083602674,0.096234061,0.10881754,0.127558723,0.14534311,0.166375488,0.186071187,0.204533264,0.227545798,0.254289061,0.288311273,0.319132149,0.346802682,0.369498014,0.40303573,0.439852595,0.459303081,0.483716786,0.500455558,0.517035425,0.553376913,0.590529919,0.61589694,0.642299294,0.670236886,0.684316218,0.692875922,0.707467675,0.734857202,0.766569078,0.786554575,0.801284492,0.812478662,0.807887673,0.790186822,0.785411477,0.798090339,0.808434665,0.804127097,0.799547732,0.806296647,0.79910934,0.771843731,0.738119662,0.722466409,0.71298337,0.697543383,0.668927968,0.643343091,0.626275957,0.6153602,0.608886957,0.595698416,0.574565649,0.554103732,0.539690077,0.541604817,0.542604148,0.542019248,0.539008498,0.532332063,0.523703814,0.515551865,0.512049258,0.507985592,0.50283426,0.49496156,0.488058805,0.490594208,0.495793879,0.497715294,0.494992942,0.48608315,0.478042454,0.469125062,0.457376093,0.443129122,0.425311774,0.401906371,0.382236123,0.366766155,0.359272808,0.359407455,0.360701829,0.368467331,0.382093191,0.39634195,0.417538255,0.432199746,0.461096734,0.493824869
0.962948322,0.964455903,0.924169362,0.948600292,0.9325459,0.867313325,0.752631068,0.618160427,0.500834703,0.3986018,0.319710702,0.276034415,0.234676078,0.210594237,0.192470223,0.175027847,0.167148635,0.155293271,0.154711813,0.1557962,0.160128221,0.170075059,0.180298716,0.193381101,0.207535952,0.225548759,0.245241389,0.265828431,0.284423053,0.305160999,0.325313985,0.347437561,0.367105365,0.390090644,0.408127338,0.424080759,0.451693118,0.465683371,0.491015464,0.499712706,0.515042067,0.541899502,0.576575577,0.601045191,0.615011156,0.639288068,0.671625853,0.714234054,0.739850044,0.75449729,0.75718689,0.778036058,0.800670326,0.793243885,0.800282478,0.807252824,0.807692349,0.825387299,0.845266223,0.853446364,0.857382178,0.86692071,0.861074448,0.847506762,0.842021942,0.852840126,0.868658602,0.871512413,0.868768632,0.863389492,0.8426373,0.810945153,0.791130662,0.79078263,0.791247964,0.779076993,0.765210867,0.75861299,0.743862689,0.712442279,0.678641796,0.660473764,0.645367563,0.625675201,0.600152552,0.587366641,0.579222739,0.57459265,0.573298156,0.573471308,0.574293971,0.570559919,0.564499617,0.56534934,0.565834999,0.562883139,0.557013571,0.548413455,0.539132178,0.531195879,0.527039886,0.522560537,0.516629994,0.508776724,0.500896573,0.499438286,0.500391364,0.50241369,0.499283105,0.4875938,0.477372706,0.465419769,0.450740933,0.432268411,0.411685675,0.389682174,0.373514622,0.359439284,0.355617434,0.358501613,0.364038885,0.375321746,0.387560964,0.410194695,0.429867268,0.449324459,0.474411696,0.509850442
0.995679379,1.0424155,0.994808555,1.038666368,0.958694994,0.881895185,0.754354894,0.585337877,0.442983329,0.333416998,0.27163133,0.221030504,0.181004405,0.16513519,0.139682651,0.122973502,0.112911902,0.097906545,0.089206092,0.083580591,0.079089671,0.076335013,0.074358694,0.076766089,0.077741958,0.0832479,0.089931004,0.097674124,0.107014149,0.11767526,0.129230067,0.141978666,0.156357989,0.172581345,0.189103216,0.204082787,0.223644197,0.24029614,0.264841408,0.279567003,0.299045384,0.32210055,0.340282887,0.367084891,0.381040573,0.397078872,0.415739506,0.443860561,0.472590953,0.494290024,0.509011984,0.534451783,0.562378526,0.569470346,0.581787527,0.588727772,0.596538126,0.622042537,0.644981682,0.658204138,0.671588242,0.685836434,0.686601937,0.681764066,0.683580041,0.698647141,0.71551156,0.721860707,0.725420296,0.725486636,0.711567283,0.687955201,0.675669074,0.677421272,0.679416716,0.669279635,0.657244205,0.658725262,0.653846204,0.626285732,0.601883829,0.594574749,0.592827201,0.598370492,0.599147081,0.592654049,0.583958507,0.577491522,0.580744565,0.581522763,0.581187129,0.57779485,0.574011683,0.575459719,0.576817453,0.574242234,0.569474459,0.560260773,0.551395535,0.543833137,0.539257646,0.535777092,0.529283047,0.521270752,0.516200304,0.511370182,0.513743937,0.518595576,0.513952672,0.503778279,0.496306986,0.483776927,0.470059276,0.453782886,0.436746985,0.413876176,0.392604858,0.377586186,0.367065072,0.363887966,0.368496358,0.371588618,0.381520569,0.395170748,0.412726164,0.428563923,0.445395231,0.461393923
1.071115255,1.060054898,1.051103353,1.062055469,0.974609375,0.914269209,0.76310569,0.617546856,0.477624327,0.378329486,0.311766028,0.27147305,0.244982481,0.228210166,0.216736391,0.210377499,0.213216856,0.210015774,0.211320385,0.221380562,0.231116921,0.242777288,0.256949186,0.274561197,0.293239474,0.317728132,0.342582524,0.366623312,0.38986218,0.416043162,0.433661968,0.456971675,0.476713598,0.499176681,0.515128195,0.528016627,0.552296042,0.564715862,0.587943435,0.590768754,0.60150367,0.619733632,0.634152234,0.654642344,0.66057992,0.678827822,0.702568948,0.739625096,0.761205733,0.77176553,0.769743681,0.78840518,0.808824658,0.799918652,0.796631873,0.781795561,0.769147813,0.788063526,0.808376074,0.810666561,0.815662384,0.821113586,0.810599267,0.796649575,0.790388286,0.796786368,0.808273494,0.807861328,0.803838909,0.796312571,0.780874193,0.751835108,0.734852195,0.731052577,0.730793774,0.717211306,0.698508441,0.68271476,0.665581942,0.641711652,0.63518554,0.627979457,0.625228941,0.63105011,0.633186996,0.62323004,0.611175179,0.60393554,0.605761111,0.608374774,0.606257856,0.60292083,0.598583817,0.599198163,0.603024065,0.59896034,0.590355635,0.578343868,0.570574164,0.562002897,0.558638334,0.551804483,0.543888688,0.533821464,0.527619123,0.522738934,0.528636038,0.528827369,0.524207056,0.512165725,0.502490997,0.486296117,0.469219744,0.451719642,0.429047674,0.405634612,0.381564379,0.364300638,0.358889848,0.358946651,0.365086973,0.363852262,0.381716698,0.396077186,0.410975814,0.431377023,0.453701824,0.476739883
0.990995944,0.984029412,0.918515086,0.932243943,0.915863693,0.819727838,0.642551124,0.491517365,0.379300922,0.291650444,0.232360721,0.191987991,0.164970398,0.138295949,0.118082859,0.105772763,0.092998832,0.083618477,0.07310909,0.067539632,0.063098945,0.060532294,0.057444226,0.056106955,0.054740053,0.055412687,0.055475581,0.056730207,0.057969846,0.059693098,0.062278971,0.065884627,0.070139058,0.075032175,0.081162006,0.087305114,0.096775591,0.105698526,0.11949379,0.133572742,0.153266788,0.174119666,0.196703315,0.217846185,0.237811968,0.263223946,0.29264468,0.328664809,0.359819293,0.38757512,0.409327537,0.441572696,0.473543346,0.492703289,0.522129416,0.55107075,0.569758236,0.602284014,0.638422489,0.662429035,0.689875185,0.717811882,0.73220998,0.741777778,0.755511522,0.780495763,0.811384678,0.829391956,0.842681289,0.85513556,0.85197556,0.833724082,0.826109946,0.837750435,0.849767983,0.843261898,0.83673048,0.839546144,0.83561027,0.808888853,0.780219793,0.760875404,0.753405631,0.734832764,0.705567777,0.67809242,0.659477413,0.648725152,0.64082545,0.630354643,0.628125012,0.625854909,0.622819483,0.62869823,0.63116622,0.627537131,0.624244928,0.615228117,0.607427239,0.601570785,0.595801353,0.593262315,0.587072551,0.57832402,0.570974231,0.571754694,0.574455976,0.574746728,0.571242988,0.561403692,0.551104069,0.537553847,0.521337688,0.503033042,0.480705619,0.455041915,0.431187063,0.414675266,0.40358001,0.403207392,0.407170862,0.41571033,0.423947424,0.435600251,0.454116583,0.468943328,0.493016601,0.52102381
